family	style	cid	glyph_signature	unicode	evidence_method	evidence_count	evidence_note
RabtenTibetan	regular	0002	ebbba6ed181c32d2dc7ba4e665a008186ad80c6a18710ecc5f42769a4840cc95	།	catalogue-heading-consensus	2027	multi_pair; winning paired-heading votes 2027/2027; sample occurrences=3515
RabtenTibetan	regular	01A4	9910d38a3fa7f5b6a37452b0c8abfd9f352aadd9675c2131a7792b2b62106869	ཀ	catalogue-heading-consensus	19	multi_pair; winning paired-heading votes 19/19; sample occurrences=32
RabtenTibetan	regular	01A8	48c846de6daecf4191010f32925454a7f7ca6c803d65fbd358ed5e84c1f43cdc	ཀུ	catalogue-heading-consensus	3	multi_pair; winning paired-heading votes 3/3; sample occurrences=7
RabtenTibetan	regular	01AA	5b573eccf5af1fd4725d77de28924fcbb2fdc207b2747c1c11a47f0f259402a9	ཀེ	catalogue-heading-consensus	2	multi_pair; winning paired-heading votes 2/2; sample occurrences=2
RabtenTibetan	regular	01AC	045dc4220f7a8be5bc4e5fa1b10d895982762893bd10ca712c5dab37573c32e0	ཀོ	catalogue-heading-consensus	5	multi_pair; winning paired-heading votes 5/5; sample occurrences=5
RabtenTibetan	regular	01D8	550b5bcb068eaff9c3b1b04b6ecddac61f38a35d4eb3913da03888141c9b0694	ཀྱི	catalogue-heading-consensus	21	multi_pair; winning paired-heading votes 21/21; sample occurrences=52
RabtenTibetan	regular	01DA	2c7e1e4bd938eccac6e5ddfdf53ea20b036a37f131fcc73c6c341eb8a24190f0	ཀྱུ	catalogue-heading-consensus	2	multi_pair; winning paired-heading votes 2/2; sample occurrences=2
RabtenTibetan	regular	01DC	ea50d588ee9d51cb6ba34f3b3e73a167f983bd304308327ed3300b0226f487e2	ཀྱེ	catalogue-heading-consensus	2	multi_pair; winning paired-heading votes 2/2; sample occurrences=3
RabtenTibetan	regular	01E0	06b16727ad1a3350cf1a14ddc3acb7c9fa9ef0300a2cab40854261605a020e4a	ཀྲ	catalogue-heading-consensus	2	multi_pair; winning paired-heading votes 2/2; sample occurrences=2
RabtenTibetan	regular	01E2	a917e3e5dc97fa63e74fae6d68a8c86355915f96a18456f877e29222cbb53685	ཀྲི	catalogue-heading-consensus	2	multi_pair; winning paired-heading votes 2/2; sample occurrences=2
RabtenTibetan	regular	01E4	87c3ff9dbf80e07b2d7840b5afd86778c40fe648dc332c8d625487cefd93af9e	ཀྲུ	catalogue-heading-consensus	1	single_pair; winning paired-heading votes 1/1; sample occurrences=1
RabtenTibetan	regular	01E8	6b8d6c1af25a07a1d4ea800e4d6f324793c46c2c741fce89e57a509b66643fd9	ཀྲོ	catalogue-heading-consensus	1	single_pair; winning paired-heading votes 1/1; sample occurrences=1
RabtenTibetan	regular	01EC	c6889c356e5239abef971e31311d1eb60ef943f749ccd527cabecc313a9275ff	ཀླ	catalogue-heading-consensus	1	single_pair; winning paired-heading votes 1/1; sample occurrences=2
RabtenTibetan	regular	01F4	961a609f6ba3157524b3de8b415eda0321c1ac7f8a77e38c01920928a4670030	ཀློ	catalogue-heading-consensus	4	multi_pair; winning paired-heading votes 4/4; sample occurrences=5
