tibetan_syllable	target	component_rule_ids	rule_evidence_syllables	target_in_rule_evidence	strict_leave_one_out_status	structural_unit_dependencies	domain_rule_dependencies	target_support_channel	authority_status
ཀ	ka	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁྲག;ཁྲམ;ཁྲལ;གཅད;གདན;གསལ;གྲང;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;པར;ཕག;ཕད;ཕན;ཕབ;ཕྱགས;ཕྱང;ཕྱད;ཕྲ;ཕྲན;བཀལ;བཙན;བརྩན;བྱད;བྱན;བྲལ;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚར;ཛ;ཟ;འཁར;ཡན;རལ;རས;རྐང;རྐོ;རྟགས;རྡལ;ལག;ལང;ལས;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ;སྟན;སྣ;སྤྱད;སྦྱང;སྦྱར	no	passed		ordinary_tibetan_lexical_or_compound	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
ཀག	kag	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_9A673562CD7A	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁུག;ཁོག;ཁྱག;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོག;གཅད;གདན;གཡོག;གསལ;གྲང;གྲས;གླང;ཅིག;ཅོག;ཆག;ཆང;ཆད;ཆར;ཆུག;ཆོག;ཏིག;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐེག;ཐོག;དམག;དྲེག;ནག;པག;པར;ཕག;ཕད;ཕན;ཕབ;ཕུག;ཕོག;ཕྱགས;ཕྱང;ཕྱད;ཕྲ;ཕྲན;ཕྲིག;ཕྲུག;བཀལ;བདག;བཙན;བརྩན;བྱད;བྱན;བྲག;བྲལ;མཐུག;མཚར;མཛད;མྱང;ཙ;ཚག;ཚགས;ཚར;ཛ;ཟ;ཟུག;འཁར;ཡན;ཡིག;རལ;རས;རིག;རིགས;རུག;རོག;རྐང;རྐོ;རྟགས;རྡལ;རྡེག;རྡོག;ལག;ལང;ལས;ལུག;ལོག;ལྷག;ཤོག;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ;སྒྲོག;སྟག;སྟན;སྣ;སྤྱད;སྦྱང;སྦྱར;སྲོག;སློག	no	passed		unresolved	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
ཀང	kaṅ	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁུང;ཁོང;ཁྲག;ཁྲམ;ཁྲལ;གཅད;གཏོང;གདན;གདུང;གདོང;གསལ;གསུང;གྲང;གྲས;གྲོང;གླང;ཅིང;ཆག;ཆང;ཆད;ཆར;ཆུང;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུང;པར;ཕག;ཕང;ཕད;ཕན;ཕབ;ཕྱགས;ཕྱང;ཕྱད;ཕྱིང;ཕྲ;ཕྲན;བཀལ;བཏང;བཙན;བརྩན;བྱད;བྱན;བྲང;བྲལ;མཐོང;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚང;ཚར;ཛ;ཟ;འཁར;ཡང;ཡན;རལ;རས;རིང;རྐང;རྐོ;རྟགས;རྡལ;རྨང;ལག;ལང;ལས;ལུང;ལོང;སར;སེང;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ;སྟན;སྟེང;སྟོང;སྣ;སྣང;སྤྱང;སྤྱད;སྦྱང;སྦྱར;སྦྱོང;སྦྲང;སྲིང;སློང	no	passed		ordinary_tibetan_lexical_or_compound	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	correction_authoritative
ཀད	kad	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_DDC164B090C8	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁྱད;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོད;གཅད;གདན;གསལ;གྲང;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཆུད;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐེད;ཐོད;དྲོད;ནད;པད;པར;ཕག;ཕད;ཕན;ཕབ;ཕུད;ཕོད;ཕྱགས;ཕྱང;ཕྱད;ཕྱེད;ཕྲ;ཕྲད;ཕྲན;བཀལ;བཙན;བརྩན;བྱད;བྱན;བྲལ;བྲེད;མཐུད;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚར;ཚུད;ཛ;ཟ;འཁར;ཡན;ཡོད;རལ;རས;རྐང;རྐོ;རྒོད;རྒྱུད;རྟགས;རྡལ;རྩེད;ལག;ལང;ལས;ཤེད;ཤོད;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱིད;སྐྱེད;སྐྱོང;སྐྲ;སྟན;སྟོད;སྡོད;སྣ;སྤྱད;སྦྱང;སྦྱར;སྲིད	no	passed		unresolved	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
ཀན	kan	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_76CFA3FCFF21	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁོན;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོན;གཅད;གདན;གདོན;གསལ;གྲང;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཆུན;ཆེན;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུན;ཐེན;ཐོན;དམན;ནོན;པན;པར;ཕག;ཕད;ཕན;ཕབ;ཕོན;ཕྱགས;ཕྱང;ཕྱད;ཕྱིན;ཕྲ;ཕྲན;ཕྲིན;བཀལ;བཙན;བརྩན;བྱད;བྱན;བྱིན;བྲན;བྲལ;བློན;མཁན;མཐུན;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚར;ཚུན;ཛ;ཟ;ཟན;འཁར;ཡན;ཡིན;ཡོན;རལ;རས;རྐང;རྐོ;རྒྱུན;རྟགས;རྡལ;རྩེན;ལག;ལང;ལས;ལེན;ཤན;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ;སྟན;སྟོན;སྣ;སྤྱད;སྤྱན;སྦྱང;སྦྱར	yes	passed		ordinary_tibetan_lexical_or_compound	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
ཀབ	kab	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_0C6592BB5CEF	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁེབ;ཁྱབ;ཁྲག;ཁྲབ;ཁྲམ;ཁྲལ;གཅད;གདན;གདུབ;གསལ;གྲང;གྲས;གྲུབ;གླང;ཆག;ཆང;ཆད;ཆར;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུབ;ཐེབ;ཐོབ;པར;ཕག;ཕད;ཕན;ཕབ;ཕུབ;ཕྱགས;ཕྱང;ཕྱད;ཕྲ;ཕྲན;བཀལ;བཏབ;བཙན;བརྡབ;བརྩན;བྱད;བྱན;བྲབ;བྲལ;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚབ;ཚར;ཛ;ཟ;འཁར;འབབ;ཡན;ཡབ;རབ;རལ;རས;རྐང;རྐོ;རྟགས;རྡལ;ལག;ལང;ལས;ལེབ;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྱོབ;སྐྲ;སྟན;སྡེབ;སྣ;སྤྱད;སྦྱང;སྦྱར;སློབ	no	passed		ordinary_tibetan_lexical_or_compound	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	correction_authoritative
ཀམ	kam	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁོམ;ཁྱིམ;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོམ;གཅད;གདན;གསལ;གསུམ;གྲང;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐམས;ཐར;ཐལ;ཐུམ;ཐེམ;ནམ;པར;ཕག;ཕད;ཕན;ཕབ;ཕམ;ཕྱགས;ཕྱང;ཕྱད;ཕྱམ;ཕྲ;ཕྲན;བཀལ;བཅོམ;བཙན;བརྩན;བྱད;བྱན;བྲམ;བྲལ;མཚར;མཛད;མྱང;ཙ;ཙམ;ཚགས;ཚར;ཚིམ;ཛ;ཟ;འཁར;ཡན;ཡུམ;རལ;རས;རིམ;རིམས;རྐང;རྐོ;རྟགས;རྡལ;ལག;ལང;ལམ;ལས;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ;སྟན;སྡོམ;སྣ;སྣམ;སྤྱད;སྦྱང;སྦྱར	no	passed		ordinary_tibetan_lexical_or_compound	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	correction_authoritative
ཀམས	kams	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_5683E9A09D00;CORPUS_F685D66CEF46	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁུགས;ཁེབས;ཁོམ;ཁྱིམ;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོམ;གཅད;གདན;གཡོགས;གསལ;གསུམ;གྲང;གྲས;གླང;ཆག;ཆགས;ཆང;ཆད;ཆར;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐམས;ཐར;ཐལ;ཐུམ;ཐེབས;ཐེམ;ནགས;ནམ;པགས;པར;ཕག;ཕད;ཕན;ཕབ;ཕམ;ཕུགས;ཕྱགས;ཕྱང;ཕྱད;ཕྱམ;ཕྲ;ཕྲན;བཀལ;བཅོམ;བཙན;བརྟགས;བརྩན;བྱད;བྱན;བྲམ;བྲལ;མཚར;མཛད;མྱང;ཙ;ཙམ;ཚགས;ཚར;ཚིམ;ཛ;ཟ;འཁར;ཡན;ཡུམ;རལ;རས;རིགས;རིམ;རིམས;རྐང;རྐོ;རྟགས;རྟོགས;རྡལ;ལག;ལང;ལམ;ལས;ལྕགས;སར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ;སྟན;སྡོམ;སྣ;སྣམ;སྤྱད;སྦྱང;སྦྱར	no	passed		unresolved	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
ཀར	kar	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;CORPUS_6783C3DA00D4	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁེར;ཁྲག;ཁྲམ;ཁྲལ;གཅད;གཏོར;གདན;གསར;གསལ;གྲང;གྲས;གླང;ཆག;ཆང;ཆད;ཆར;ཆེར;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུར;ཐེར;ཐོར;ནོར;པར;པོར;ཕག;ཕད;ཕན;ཕབ;ཕུར;ཕོར;ཕྱགས;ཕྱང;ཕྱད;ཕྱར;ཕྲ;ཕྲན;བཀལ;བདར;བཙན;བརྡར;བརྩན;བྱད;བྱན;བྲལ;མཁར;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚར;ཚུར;ཛ;ཟ;ཟུར;ཟེར;འཁར;འཁོར;འབར;ཡན;ཡར;རལ;རས;རྐང;རྐོ;རྟགས;རྡལ;ལག;ལང;ལས;ཤོར;སར;སེར;སོར;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐོར;སྐྱོང;སྐྲ;སྟན;སྟེར;སྣ;སྤྱད;སྦྱང;སྦྱར;སྦྱོར	yes	passed		ordinary_tibetan_lexical_or_compound	ordinary_tibetan_lexical_or_compound=secure_independent_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
ཀལ	kal	RESIDUAL_16C7C1641787;CORPUS_01025FAF5D30;RESIDUAL_A5A2CF47705E	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;ཁབ;ཁར;ཁུལ;ཁེལ;ཁོལ;ཁྲག;ཁྲམ;ཁྲལ;ཁྲོལ;གཅད;གདན;གསལ;གྲང;གྲས;གྲོལ;གླང;ཆག;ཆང;ཆད;ཆར;ཆལ;ཐང;ཐད;ཐབ;ཐབས;ཐམ;ཐར;ཐལ;ཐུལ;ཐེལ;པར;ཕག;ཕད;ཕན;ཕབ;ཕུལ;ཕྱགས;ཕྱང;ཕྱད;ཕྱལ;ཕྲ;ཕྲན;བཀལ;བཅོལ;བཙན;བཙལ;བརྩན;བྱད;བྱན;བྲལ;བྲེལ;མཚར;མཛད;མྱང;ཙ;ཚགས;ཚར;ཚིལ;ཚུལ;ཚོལ;ཛ;ཟ;འཁར;འཁོལ;ཡན;ཡུལ;ཡོལ;རལ;རས;རིལ;རྐང;རྐོ;རྒོལ;རྟགས;རྡལ;རྡེལ;རྡོལ;རྩལ;ལག;ལང;ལས;ཤེལ;སར;སེལ;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱིལ;སྐྱེལ;སྐྱོང;སྐྲ;སྒྲོལ;སྟན;སྣ;སྤྱད;སྦྱང;སྦྱར;སྲོལ	no	passed		unresolved	ordinary_tibetan_lexical_or_compound=nonadmissible_observation;tibetan_proper_name=nonadmissible_observation	complete_not_currently_authoritative
