tibetan_role	tibetan_feature	structural_context	strong_canonical_missing_count	single_unknown_count	isolated_residual_realizations	supporting_syllables	supporting_volumes	supporting_entry_clusters	provisional_syllables_unlocked	secure_outliers_unlocked	final_ng_rows_unlocked	induction_status	blocker	new_exact_strong_reconstructions	new_feature_complete_provisional_syllables	new_admissible_target_support_cases	new_current_authoritative_targets	new_structurally_attributable_ocr_edits	new_current_correction_ready_rows
root_consonant	ང	single_unknown_residual_induction	1	1	d	སྔོད	wts_1_34;wts_35_51	wts_1_34:915;wts_35_51:299	0	0	0	competing_residual_realizations	d;n	0	0	0	0	0	0
root_consonant	ང	single_unknown_residual_induction	2	2	n	ངོ;ངོས	wts_1_34;wts_35_51;wts_8_b	wts_1_34:269;wts_1_34:537;wts_1_34:538;wts_1_34:539;wts_1_34:540;wts_1_34:542;wts_35_51:1088;wts_35_51:34;wts_8_b:164	0	0	0	competing_residual_realizations	d;n	0	0	0	0	0	0
root_consonant	ཇ	single_unknown_residual_induction	4	4	j	ཇ;མཇལ;མཇུག;འཇོམས	wts_1_34;wts_35_51;wts_8_b	wts_1_34:245;wts_1_34:298;wts_1_34:707;wts_1_34:715;wts_1_34:716;wts_1_34:717;wts_1_34:778;wts_35_51:233;wts_35_51:856;wts_35_51:876;wts_35_51:959;wts_8_b:197	0	0	0	promotion_candidate	none	0	0	0	0	0	0
root_consonant	པ	single_unknown_residual_induction	2	2	b	སྤལ;སྤོམ	wts_35_51;wts_8_b	wts_35_51:1052;wts_35_51:525;wts_8_b:533;wts_8_b:534;wts_8_b:544;wts_8_b:545	0	0	0	competing_residual_realizations	b;p	0	0	0	0	0	0
root_consonant	པ	single_unknown_residual_induction	18	18	p	དཔལ;དཔོན;དཔྱད;པག;པགས;པད;པན;པར;པོར;པོས;སྤར;སྤུ;སྤྱང;སྤྱད;སྤྱན;སྤྱི;སྤྱོད;སྤྲོ	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1001;wts_1_34:1013;wts_1_34:1020;wts_1_34:1032;wts_1_34:1055;wts_1_34:1058;wts_1_34:1060;wts_1_34:1061;wts_1_34:1067;wts_1_34:1109;wts_1_34:1124;wts_1_34:1125;wts_1_34:119;wts_1_34:120;wts_1_34:141;wts_1_34:162;wts_1_34:208;wts_1_34:248;wts_1_34:279;wts_1_34:280;wts_1_34:284;wts_1_34:295;wts_1_34:297;wts_1_34:313;wts_1_34:317;wts_1_34:360;wts_1_34:371;wts_1_34:387;wts_1_34:404;wts_1_34:472;wts_1_34:476;wts_1_34:50;wts_1_34:509;wts_1_34:525;wts_1_34:528;wts_1_34:535;wts_1_34:536;wts_1_34:546;wts_1_34:552;wts_1_34:553;wts_1_34:554;wts_1_34:555;wts_1_34:556;wts_1_34:587;wts_1_34:605;wts_1_34:70;wts_1_34:720;wts_1_34:74;wts_1_34:745;wts_1_34:76;wts_1_34:772;wts_1_34:79;wts_1_34:793;wts_1_34:809;wts_1_34:813;wts_1_34:916;wts_1_34:918;wts_1_34:925;wts_1_34:94;wts_1_34:953;wts_1_34:962;wts_1_34:982;wts_35_51:101;wts_35_51:1069;wts_35_51:1070;wts_35_51:1082;wts_35_51:1106;wts_35_51:195;wts_35_51:240;wts_35_51:241;wts_35_51:243;wts_35_51:258;wts_35_51:263;wts_35_51:289;wts_35_51:293;wts_35_51:398;wts_35_51:423;wts_35_51:426;wts_35_51:457;wts_35_51:471;wts_35_51:525;wts_35_51:570;wts_35_51:571;wts_35_51:572;wts_35_51:573;wts_35_51:574;wts_35_51:576;wts_35_51:578;wts_35_51:579;wts_35_51:580;wts_35_51:581;wts_35_51:582;wts_35_51:583;wts_35_51:584;wts_35_51:585;wts_35_51:586;wts_35_51:587;wts_35_51:589;wts_35_51:591;wts_35_51:592;wts_35_51:595;wts_35_51:653;wts_35_51:676;wts_35_51:677;wts_35_51:679;wts_35_51:682;wts_35_51:683;wts_35_51:684;wts_35_51:693;wts_35_51:694;wts_35_51:695;wts_35_51:712;wts_35_51:716;wts_35_51:723;wts_35_51:729;wts_35_51:730;wts_35_51:732;wts_35_51:733;wts_35_51:734;wts_35_51:735;wts_35_51:736;wts_35_51:737;wts_35_51:751;wts_35_51:752;wts_35_51:756;wts_35_51:757;wts_35_51:775;wts_35_51:776;wts_35_51:778;wts_35_51:779;wts_35_51:780;wts_35_51:782;wts_35_51:797;wts_35_51:804;wts_35_51:808;wts_35_51:810;wts_35_51:811;wts_35_51:817;wts_35_51:818;wts_35_51:819;wts_35_51:820;wts_35_51:824;wts_35_51:825;wts_35_51:826;wts_35_51:834;wts_35_51:835;wts_35_51:859;wts_35_51:889;wts_35_51:900;wts_35_51:929;wts_35_51:93;wts_35_51:948;wts_35_51:951;wts_35_51:974;wts_35_51:976;wts_8_b:121;wts_8_b:175;wts_8_b:214;wts_8_b:322;wts_8_b:360;wts_8_b:41;wts_8_b:46;wts_8_b:575;wts_9_m:129;wts_9_m:165;wts_9_m:265;wts_9_m:288;wts_9_m:304;wts_9_m:346;wts_9_m:371;wts_9_m:66	0	0	0	competing_residual_realizations	b;p	0	0	0	0	0	0
root_consonant	ཚ	single_unknown_residual_induction	1	1	tsb	ཚོམ	wts_1_34;wts_35_51	wts_1_34:1023;wts_1_34:222;wts_35_51:1054	0	0	0	competing_residual_realizations	tsb;tsh	0	0	0	0	0	0
root_consonant	ཚ	single_unknown_residual_induction	19	19	tsh	མཚར;མཚུར;མཚོན;ཚག;ཚགས;ཚང;ཚབ;ཚར;ཚིགས;ཚིམ;ཚིལ;ཚུགས;ཚུད;ཚུན;ཚུར;ཚུལ;ཚོམས;ཚོལ;ཚོས	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1002;wts_1_34:1017;wts_1_34:1047;wts_1_34:1067;wts_1_34:1090;wts_1_34:1110;wts_1_34:1135;wts_1_34:1164;wts_1_34:1186;wts_1_34:1247;wts_1_34:142;wts_1_34:159;wts_1_34:161;wts_1_34:175;wts_1_34:185;wts_1_34:190;wts_1_34:194;wts_1_34:222;wts_1_34:252;wts_1_34:280;wts_1_34:303;wts_1_34:330;wts_1_34:334;wts_1_34:352;wts_1_34:364;wts_1_34:372;wts_1_34:379;wts_1_34:408;wts_1_34:413;wts_1_34:416;wts_1_34:438;wts_1_34:453;wts_1_34:461;wts_1_34:473;wts_1_34:487;wts_1_34:510;wts_1_34:540;wts_1_34:556;wts_1_34:568;wts_1_34:580;wts_1_34:591;wts_1_34:639;wts_1_34:650;wts_1_34:664;wts_1_34:697;wts_1_34:701;wts_1_34:75;wts_1_34:750;wts_1_34:768;wts_1_34:788;wts_1_34:792;wts_1_34:794;wts_1_34:81;wts_1_34:815;wts_1_34:823;wts_1_34:885;wts_1_34:890;wts_1_34:994;wts_35_51:1020;wts_35_51:1071;wts_35_51:1101;wts_35_51:262;wts_35_51:290;wts_35_51:299;wts_35_51:378;wts_35_51:379;wts_35_51:380;wts_35_51:390;wts_35_51:401;wts_35_51:402;wts_35_51:528;wts_35_51:621;wts_35_51:637;wts_35_51:714;wts_35_51:74;wts_35_51:804;wts_35_51:835;wts_35_51:839;wts_35_51:889;wts_35_51:890;wts_35_51:891;wts_35_51:897;wts_35_51:923;wts_35_51:966;wts_8_b:157;wts_8_b:181;wts_8_b:224;wts_8_b:357;wts_8_b:359;wts_8_b:407;wts_8_b:409;wts_8_b:413;wts_8_b:43;wts_8_b:473;wts_8_b:504;wts_8_b:548;wts_8_b:569;wts_8_b:65;wts_9_m:134;wts_9_m:223;wts_9_m:288;wts_9_m:333;wts_9_m:372;wts_9_m:383;wts_9_m:40	0	0	0	competing_residual_realizations	tsb;tsh	0	0	0	0	0	0
root_consonant	ཝ	single_unknown_residual_induction	1	1	w	ཝ	wts_1_34;wts_35_51	wts_1_34:283;wts_1_34:772;wts_35_51:689	0	0	0	provisional	none	0	0	0	0	0	0
root_consonant	ཤ	single_unknown_residual_induction	2	2	S	ཤན;ཤས	wts_1_34;wts_35_51	wts_1_34:1018;wts_1_34:1034;wts_1_34:622;wts_1_34:91;wts_35_51:638;wts_35_51:971	0	0	0	competing_residual_realizations	S;s	0	0	0	0	0	0
root_consonant	ཤ	single_unknown_residual_induction	7	7	s	གཤིན;བཤད;ཤུ;ཤུགས;ཤོག;ཤོད;ཤོར	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1029;wts_1_34:1073;wts_1_34:109;wts_1_34:143;wts_1_34:255;wts_1_34:256;wts_1_34:918;wts_35_51:1017;wts_35_51:170;wts_35_51:26;wts_35_51:383;wts_35_51:400;wts_35_51:742;wts_35_51:880;wts_35_51:891;wts_35_51:905;wts_35_51:97;wts_8_b:225;wts_8_b:329;wts_8_b:343;wts_8_b:356;wts_8_b:365;wts_8_b:550;wts_9_m:355	0	0	0	competing_residual_realizations	S;s	0	0	0	0	0	0
