volume	page	line	token_index	tibetan_syllable	latin_source	latin_target	tibetan_role	tibetan_feature	latin_realization	structural_unit	evidence_provenance	source_or_target	independence_class	feature_teaching_status	domain	alignment	confidence
wts_1_34	35	164	3	ཞང	Zan	źaṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_historical_witness	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	35	164	3	ཞང	Zan	źaṅ	pre_coda_structural_unit	ཞ	Za	pre_coda_stem	reviewed_tibetan_exact_final_ng_historical_witness	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	35	164	3	ཞང	Zaṅ	źaṅ				full_token	reviewed_correction_supersession_bridge	source	reviewed	not_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	35	206	3	བཞི	bzi	bźi	root_consonant	ཞ	ź	root	reviewed_tibetan_exact_transcription_integrity	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	35	206	3	བཞི	bzi	bźi	unsegmented_structural_unit	བཞི	b□i	unaffected_span_support	reviewed_tibetan_exact_transcription_integrity	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	36	79	3	བང	ban	baṅ	suffix_coda			token_final	reviewed_tibetan_exact_final_ng_source_compatible	target	reviewed	role_unresolved	sanskrit_or_indic_transcription	secure_reviewed_alignment	none
wts_1_34	37	119	2	ཐུང	thun	thuṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	37	119	2	ཐུང	thun	thuṅ	pre_coda_structural_unit	ཐུ	thu	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	39	188	2	ཕྲེང	phren	phreṅ	suffix_coda	ང	ṅ	token_final	reviewed_tibetan_exact_final_ng_consensus	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	39	188	2	ཕྲེང	phren	phreṅ	pre_coda_structural_unit	ཕྲེ	phre	pre_coda_stem	reviewed_tibetan_exact_final_ng_consensus	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
wts_1_34	40	97	3	བཞི	bzi	bźi	root_consonant	ཞ	ź	root	reviewed_tibetan_exact_transcription_integrity	target	reviewed	reviewed_explicit_feature_evidence	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	high
wts_1_34	40	97	3	བཞི	bzi	bźi	unsegmented_structural_unit	བཞི	b□i	unaffected_span_support	reviewed_tibetan_exact_transcription_integrity	source	historical_source	unaffected_feature_from_reviewed_source	ordinary_tibetan_lexical_or_compound	secure_reviewed_alignment	medium
