rule_id	tibetan_role	tibetan_feature	structural_context	contrastive_delta	evidence_kind	full_role_realization_candidate	proposed_latin_realization	strong_canonical_syllables	independent_feature_evidence_identities	reviewed_explicit_support	unaffected_reviewed_source_support	minimal_pair_support	alternate_witness_support	supporting_volumes	supporting_entry_clusters	counterexamples	competing_realizations	domain_breakdown	confidence	recommendation
CORPUS_ACBF75C07932	post_suffix		contrastive	→s	zero_realization_isolated			ཁུག;ཁེབ;གཡོག;ཆག;ཐབ;ཐམ;ཐེབ;ནག;པག;ཕུག;བརྟག;ཚག;རིག;རིམ;རྟོག;ལྕག		0	0	ཁུག:khug↔ཁུགས:khugs || ཁེབ:kheb↔ཁེབས:khebs || གཡོག:g.yog↔གཡོགས:g.yogs || ཆག:chag↔ཆགས:chags || ཐབ:thab↔ཐབས:thabs || ཐམ:tham↔ཐམས:thams || ཐེབ:theb↔ཐེབས:thebs || ནག:nag↔ནགས:nags || པག:pag↔པགས:pags || ཕུག:phug↔ཕུགས:phugs || བརྟག:brtag↔བརྟགས:brtags || ཚག:tshag↔ཚགས:tshags || རིག:rig↔རིགས:rigs || རིམ:rim↔རིམས:rims || རྟོག:rtog↔རྟོགས:rtogs || ལྕག:lcag↔ལྕགས:lcags	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1000;wts_1_34:1002;wts_1_34:1012;wts_1_34:1026;wts_1_34:1030;wts_1_34:1046;wts_1_34:1056;wts_1_34:113;wts_1_34:1309;wts_1_34:140;wts_1_34:148;wts_1_34:158;wts_1_34:164;wts_1_34:175;wts_1_34:236;wts_1_34:242;wts_1_34:243;wts_1_34:246;wts_1_34:266;wts_1_34:268;wts_1_34:271;wts_1_34:284;wts_1_34:321;wts_1_34:364;wts_1_34:37;wts_1_34:389;wts_1_34:390;wts_1_34:426;wts_1_34:442;wts_1_34:470;wts_1_34:471;wts_1_34:483;wts_1_34:504;wts_1_34:509;wts_1_34:535;wts_1_34:553;wts_1_34:58;wts_1_34:593;wts_1_34:610;wts_1_34:611;wts_1_34:621;wts_1_34:622;wts_1_34:624;wts_1_34:625;wts_1_34:682;wts_1_34:72;wts_1_34:745;wts_1_34:77;wts_1_34:786;wts_1_34:88;wts_1_34:898;wts_1_34:914;wts_1_34:923;wts_1_34:924;wts_1_34:928;wts_1_34:933;wts_1_34:962;wts_1_34:967;wts_1_34:980;wts_1_34:982;wts_1_34:987;wts_1_34:988;wts_1_34:992;wts_1_34:995;wts_35_51:100;wts_35_51:1028;wts_35_51:1068;wts_35_51:1089;wts_35_51:230;wts_35_51:240;wts_35_51:258;wts_35_51:373;wts_35_51:375;wts_35_51:377;wts_35_51:378;wts_35_51:379;wts_35_51:380;wts_35_51:382;wts_35_51:389;wts_35_51:395;wts_35_51:399;wts_35_51:414;wts_35_51:427;wts_35_51:500;wts_35_51:559;wts_35_51:578;wts_35_51:580;wts_35_51:676;wts_35_51:677;wts_35_51:679;wts_35_51:699;wts_35_51:713;wts_35_51:733;wts_35_51:756;wts_35_51:788;wts_35_51:801;wts_35_51:820;wts_35_51:906;wts_35_51:907;wts_35_51:908;wts_35_51:910;wts_35_51:970;wts_8_b:109;wts_8_b:113;wts_8_b:247;wts_8_b:252;wts_8_b:256;wts_8_b:257;wts_8_b:267;wts_8_b:332;wts_8_b:37;wts_8_b:437;wts_8_b:512;wts_8_b:53;wts_9_m:218;wts_9_m:223;wts_9_m:304;wts_9_m:359			ordinary_tibetan_lexical_or_compound	high	feature_independent_strong_candidate
CORPUS_F685D66CEF46	post_suffix	ས	contrastive	→s	zero_realization_isolated	s	s	ཁུགས;ཁེབས;གཡོགས;ཆགས;ཐབས;ཐམས;ཐེབས;ནགས;པགས;ཕུགས;བརྟགས;ཚགས;རིགས;རིམས;རྟོགས;ལྕགས		0	0	ཁུག:khug↔ཁུགས:khugs || ཁེབ:kheb↔ཁེབས:khebs || གཡོག:g.yog↔གཡོགས:g.yogs || ཆག:chag↔ཆགས:chags || ཐབ:thab↔ཐབས:thabs || ཐམ:tham↔ཐམས:thams || ཐེབ:theb↔ཐེབས:thebs || ནག:nag↔ནགས:nags || པག:pag↔པགས:pags || ཕུག:phug↔ཕུགས:phugs || བརྟག:brtag↔བརྟགས:brtags || ཚག:tshag↔ཚགས:tshags || རིག:rig↔རིགས:rigs || རིམ:rim↔རིམས:rims || རྟོག:rtog↔རྟོགས:rtogs || ལྕག:lcag↔ལྕགས:lcags	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1002;wts_1_34:1017;wts_1_34:1027;wts_1_34:1028;wts_1_34:1032;wts_1_34:1036;wts_1_34:1051;wts_1_34:1054;wts_1_34:113;wts_1_34:1135;wts_1_34:1140;wts_1_34:1151;wts_1_34:1180;wts_1_34:1202;wts_1_34:1277;wts_1_34:160;wts_1_34:166;wts_1_34:224;wts_1_34:246;wts_1_34:254;wts_1_34:267;wts_1_34:271;wts_1_34:284;wts_1_34:296;wts_1_34:301;wts_1_34:303;wts_1_34:329;wts_1_34:356;wts_1_34:380;wts_1_34:393;wts_1_34:424;wts_1_34:428;wts_1_34:461;wts_1_34:470;wts_1_34:474;wts_1_34:476;wts_1_34:483;wts_1_34:485;wts_1_34:504;wts_1_34:527;wts_1_34:535;wts_1_34:537;wts_1_34:55;wts_1_34:551;wts_1_34:553;wts_1_34:597;wts_1_34:611;wts_1_34:612;wts_1_34:626;wts_1_34:627;wts_1_34:635;wts_1_34:636;wts_1_34:643;wts_1_34:650;wts_1_34:678;wts_1_34:682;wts_1_34:695;wts_1_34:72;wts_1_34:746;wts_1_34:750;wts_1_34:766;wts_1_34:768;wts_1_34:77;wts_1_34:78;wts_1_34:784;wts_1_34:786;wts_1_34:793;wts_1_34:828;wts_1_34:896;wts_1_34:898;wts_1_34:916;wts_1_34:925;wts_1_34:94;wts_1_34:949;wts_1_34:962;wts_1_34:963;wts_1_34:993;wts_1_34:994;wts_1_34:995;wts_1_34:996;wts_1_34:997;wts_35_51:108;wts_35_51:1081;wts_35_51:1083;wts_35_51:1091;wts_35_51:1094;wts_35_51:1114;wts_35_51:124;wts_35_51:125;wts_35_51:189;wts_35_51:190;wts_35_51:205;wts_35_51:232;wts_35_51:24;wts_35_51:245;wts_35_51:248;wts_35_51:293;wts_35_51:312;wts_35_51:381;wts_35_51:382;wts_35_51:383;wts_35_51:401;wts_35_51:406;wts_35_51:412;wts_35_51:559;wts_35_51:567;wts_35_51:568;wts_35_51:580;wts_35_51:679;wts_35_51:689;wts_35_51:804;wts_35_51:82;wts_35_51:861;wts_35_51:872;wts_35_51:908;wts_8_b:119;wts_8_b:148;wts_8_b:177;wts_8_b:194;wts_8_b:227;wts_8_b:263;wts_8_b:295;wts_8_b:378;wts_8_b:418;wts_8_b:487;wts_8_b:512;wts_8_b:533;wts_8_b:548;wts_9_m:235;wts_9_m:281;wts_9_m:331			ordinary_tibetan_lexical_or_compound	reviewed	feature_reviewed
CORPUS_DEE28C44B41E	prefix		contrastive	b→;d→;g→;m→;→b;→d;→m	zero_realization_isolated			ཀར;ཁར;གྲང;ཅད;ཐར;ཐུ;ཐུན;ཐོ;ནོན;བྱུང;ཚར;ཚུར;ཟློག;རྒྱུད;རྟགས;རྟུལ;རྟེན;རྡེག;རྡོལ;སར;སུམ;སྐལ;སྐོར;སྐྱེད;སྒྱུར;སྟན;སྟོད		0	0	ཀར:kar↔དཀར:dkar || ཁར:khar↔མཁར:mkhar || གཅད:gcad↔ཅད:cad || གནོན:gnon↔ནོན:non || གསར:gsar↔སར:sar || གསུམ:gsum↔སུམ:sum || གྲང:graṅ↔བགྲང:bgraṅ || ཅད:cad↔བཅད:bcad || ཐར:thar↔མཐར:mthar || ཐུ:thu↔མཐུ:mthu || ཐུན:thun↔མཐུན:mthun || ཐོ:tho↔མཐོ:mtho || དབྱུང:dbyuṅ↔བྱུང:byuṅ || བཟློག:bzlog↔ཟློག:zlog || བརྒྱུད:brgyud↔རྒྱུད:rgyud || བརྟགས:brtags↔རྟགས:rtags || བརྟུལ:brtul↔རྟུལ:rtul || བརྟེན:brten↔རྟེན:rten || བརྡེག:brdeg↔རྡེག:rdeg || བརྡོལ:brdol↔རྡོལ:rdol || བསྐལ:bskal↔སྐལ:skal || བསྐོར:bskor↔སྐོར:skor || བསྐྱེད:bskyed↔སྐྱེད:skyed || བསྒྱུར:bsgyur↔སྒྱུར:sgyur || བསྟན:bstan↔སྟན:stan || བསྟོད:bstod↔སྟོད:stod || མཚར:mtshar↔ཚར:tshar || མཚུར:mtshur↔ཚུར:tshur	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1004;wts_1_34:1005;wts_1_34:1006;wts_1_34:1010;wts_1_34:1012;wts_1_34:1017;wts_1_34:1018;wts_1_34:1026;wts_1_34:1029;wts_1_34:1030;wts_1_34:1034;wts_1_34:1039;wts_1_34:1050;wts_1_34:1051;wts_1_34:1052;wts_1_34:1090;wts_1_34:1132;wts_1_34:1138;wts_1_34:1180;wts_1_34:120;wts_1_34:1307;wts_1_34:139;wts_1_34:141;wts_1_34:157;wts_1_34:162;wts_1_34:165;wts_1_34:169;wts_1_34:179;wts_1_34:180;wts_1_34:183;wts_1_34:188;wts_1_34:192;wts_1_34:196;wts_1_34:210;wts_1_34:224;wts_1_34:242;wts_1_34:248;wts_1_34:252;wts_1_34:256;wts_1_34:263;wts_1_34:264;wts_1_34:294;wts_1_34:295;wts_1_34:298;wts_1_34:320;wts_1_34:352;wts_1_34:354;wts_1_34:359;wts_1_34:37;wts_1_34:382;wts_1_34:387;wts_1_34:399;wts_1_34:407;wts_1_34:429;wts_1_34:461;wts_1_34:468;wts_1_34:470;wts_1_34:484;wts_1_34:491;wts_1_34:494;wts_1_34:503;wts_1_34:51;wts_1_34:538;wts_1_34:546;wts_1_34:557;wts_1_34:558;wts_1_34:560;wts_1_34:574;wts_1_34:60;wts_1_34:627;wts_1_34:646;wts_1_34:648;wts_1_34:678;wts_1_34:695;wts_1_34:702;wts_1_34:716;wts_1_34:723;wts_1_34:724;wts_1_34:725;wts_1_34:726;wts_1_34:753;wts_1_34:786;wts_1_34:816;wts_1_34:916;wts_1_34:917;wts_1_34:920;wts_1_34:921;wts_1_34:922;wts_1_34:923;wts_1_34:945;wts_1_34:955;wts_1_34:988;wts_1_34:990;wts_1_34:991;wts_1_34:992;wts_1_34:995;wts_1_34:996;wts_1_34:997;wts_1_34:998;wts_1_34:999;wts_35_51:100;wts_35_51:1012;wts_35_51:1015;wts_35_51:1020;wts_35_51:1048;wts_35_51:1052;wts_35_51:1070;wts_35_51:1071;wts_35_51:1077;wts_35_51:1087;wts_35_51:1127;wts_35_51:228;wts_35_51:229;wts_35_51:248;wts_35_51:25;wts_35_51:251;wts_35_51:258;wts_35_51:360;wts_35_51:379;wts_35_51:382;wts_35_51:391;wts_35_51:422;wts_35_51:425;wts_35_51:457;wts_35_51:46;wts_35_51:472;wts_35_51:477;wts_35_51:492;wts_35_51:521;wts_35_51:523;wts_35_51:559;wts_35_51:56;wts_35_51:567;wts_35_51:568;wts_35_51:600;wts_35_51:607;wts_35_51:617;wts_35_51:636;wts_35_51:690;wts_35_51:715;wts_35_51:720;wts_35_51:723;wts_35_51:738;wts_35_51:768;wts_35_51:792;wts_35_51:810;wts_35_51:835;wts_35_51:884;wts_35_51:897;wts_35_51:906;wts_35_51:913;wts_35_51:917;wts_35_51:926;wts_35_51:96;wts_35_51:960;wts_35_51:97;wts_35_51:971;wts_35_51:974;wts_8_b:120;wts_8_b:174;wts_8_b:208;wts_8_b:216;wts_8_b:217;wts_8_b:218;wts_8_b:219;wts_8_b:220;wts_8_b:221;wts_8_b:222;wts_8_b:223;wts_8_b:224;wts_8_b:27;wts_8_b:304;wts_8_b:322;wts_8_b:342;wts_8_b:345;wts_8_b:347;wts_8_b:377;wts_8_b:383;wts_8_b:42;wts_8_b:470;wts_8_b:493;wts_8_b:529;wts_8_b:560;wts_8_b:65;wts_8_b:93;wts_8_b:97;wts_9_m:152;wts_9_m:166;wts_9_m:173;wts_9_m:20;wts_9_m:249;wts_9_m:254;wts_9_m:258;wts_9_m:26;wts_9_m:311;wts_9_m:332;wts_9_m:361;wts_9_m:62			ordinary_tibetan_lexical_or_compound	high	feature_independent_strong_candidate
CORPUS_4E31F0FBB76E	prefix	ག	contrastive	g→;g→b;g→m	contrastive_delta_only;full_realization_isolated;zero_realization_isolated	g	g	གཅད;གདུང;གནོན;གཞི;གསར;གསུམ		0	0	གཅད:gcad↔ཅད:cad || གཅད:gcad↔བཅད:bcad || གདུང:gduṅ↔མདུང:mduṅ || གནོན:gnon↔ནོན:non || གཞི:gźi↔བཞི:bźi || གསར:gsar↔སར:sar || གསུམ:gsum↔སུམ:sum	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1018;wts_1_34:1021;wts_1_34:1025;wts_1_34:1061;wts_1_34:1064;wts_1_34:1068;wts_1_34:1166;wts_1_34:1192;wts_1_34:1193;wts_1_34:129;wts_1_34:160;wts_1_34:248;wts_1_34:262;wts_1_34:263;wts_1_34:281;wts_1_34:285;wts_1_34:297;wts_1_34:323;wts_1_34:342;wts_1_34:360;wts_1_34:388;wts_1_34:464;wts_1_34:468;wts_1_34:487;wts_1_34:590;wts_1_34:660;wts_1_34:703;wts_1_34:726;wts_1_34:899;wts_1_34:912;wts_1_34:917;wts_1_34:923;wts_1_34:953;wts_1_34:98;wts_1_34:981;wts_1_34:985;wts_35_51:1020;wts_35_51:103;wts_35_51:104;wts_35_51:1048;wts_35_51:1097;wts_35_51:173;wts_35_51:2;wts_35_51:24;wts_35_51:25;wts_35_51:26;wts_35_51:407;wts_35_51:411;wts_35_51:423;wts_35_51:529;wts_35_51:702;wts_35_51:717;wts_35_51:859;wts_35_51:913;wts_35_51:914;wts_35_51:922;wts_35_51:97;wts_35_51:983;wts_35_51:984;wts_8_b:345;wts_8_b:378;wts_8_b:441;wts_8_b:493;wts_8_b:65;wts_9_m:118;wts_9_m:162;wts_9_m:168;wts_9_m:177;wts_9_m:41;wts_9_m:43			ordinary_tibetan_lexical_or_compound	reviewed	feature_reviewed
RESIDUAL_F3DC70A190E0	prefix	ད	single_unknown_residual_induction		single_unknown_residual_induction	d	d	དཀར;དཀྱིལ;དགྲ;དབུགས;དབྱིག;དབྱུང;དམག;དམན;དམིགས		0	0		0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1003;wts_1_34:1012;wts_1_34:1025;wts_1_34:1029;wts_1_34:1063;wts_1_34:115;wts_1_34:1156;wts_1_34:116;wts_1_34:121;wts_1_34:122;wts_1_34:123;wts_1_34:124;wts_1_34:125;wts_1_34:128;wts_1_34:1287;wts_1_34:129;wts_1_34:162;wts_1_34:246;wts_1_34:264;wts_1_34:268;wts_1_34:306;wts_1_34:387;wts_1_34:394;wts_1_34:468;wts_1_34:50;wts_1_34:793;wts_1_34:910;wts_1_34:918;wts_1_34:953;wts_1_34:97;wts_1_34:988;wts_35_51:1022;wts_35_51:1059;wts_35_51:230;wts_35_51:253;wts_35_51:269;wts_35_51:500;wts_35_51:501;wts_35_51:504;wts_35_51:523;wts_35_51:526;wts_35_51:625;wts_35_51:690;wts_35_51:699;wts_35_51:70;wts_35_51:700;wts_35_51:721;wts_35_51:723;wts_35_51:739;wts_35_51:81;wts_35_51:901;wts_35_51:934;wts_35_51:943;wts_35_51:978;wts_35_51:986;wts_8_b:113;wts_8_b:179;wts_8_b:21;wts_8_b:252;wts_8_b:332;wts_8_b:381;wts_8_b:382;wts_8_b:383;wts_8_b:384;wts_8_b:410;wts_8_b:417;wts_8_b:418;wts_8_b:485;wts_8_b:571;wts_8_b:575;wts_9_m:199;wts_9_m:226;wts_9_m:287;wts_9_m:288;wts_9_m:289;wts_9_m:290;wts_9_m:292;wts_9_m:293;wts_9_m:297;wts_9_m:311;wts_9_m:312;wts_9_m:313;wts_9_m:358;wts_9_m:60			ordinary_tibetan_lexical_or_compound	high	feature_independent_strong_candidate
CORPUS_F39DE6FEA67D	prefix	བ	contrastive	b→;g→b;→b	full_realization_isolated;zero_realization_isolated	b	b	བགྲང;བཅད;བཞི;བཟློག;བརྒྱུད;བརྟགས;བརྟུལ;བརྟེན;བརྡེག;བརྡོལ;བསྐལ;བསྐོར;བསྐྱེད;བསྒྱུར;བསྟན;བསྟོད		0	0	གཅད:gcad↔བཅད:bcad || གཞི:gźi↔བཞི:bźi || གྲང:graṅ↔བགྲང:bgraṅ || ཅད:cad↔བཅད:bcad || བཟློག:bzlog↔ཟློག:zlog || བརྒྱུད:brgyud↔རྒྱུད:rgyud || བརྟགས:brtags↔རྟགས:rtags || བརྟུལ:brtul↔རྟུལ:rtul || བརྟེན:brten↔རྟེན:rten || བརྡེག:brdeg↔རྡེག:rdeg || བརྡོལ:brdol↔རྡོལ:rdol || བསྐལ:bskal↔སྐལ:skal || བསྐོར:bskor↔སྐོར:skor || བསྐྱེད:bskyed↔སྐྱེད:skyed || བསྒྱུར:bsgyur↔སྒྱུར:sgyur || བསྟན:bstan↔སྟན:stan || བསྟོད:bstod↔སྟོད:stod	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1010;wts_1_34:1019;wts_1_34:1021;wts_1_34:1051;wts_1_34:1053;wts_1_34:1131;wts_1_34:115;wts_1_34:118;wts_1_34:1187;wts_1_34:135;wts_1_34:138;wts_1_34:139;wts_1_34:163;wts_1_34:215;wts_1_34:228;wts_1_34:232;wts_1_34:236;wts_1_34:243;wts_1_34:246;wts_1_34:249;wts_1_34:255;wts_1_34:269;wts_1_34:271;wts_1_34:293;wts_1_34:299;wts_1_34:320;wts_1_34:322;wts_1_34:37;wts_1_34:52;wts_1_34:535;wts_1_34:548;wts_1_34:563;wts_1_34:600;wts_1_34:601;wts_1_34:72;wts_1_34:725;wts_1_34:726;wts_1_34:746;wts_1_34:77;wts_1_34:78;wts_1_34:786;wts_1_34:925;wts_1_34:928;wts_1_34:952;wts_1_34:962;wts_1_34:963;wts_1_34:965;wts_1_34:966;wts_1_34:970;wts_1_34:975;wts_1_34:979;wts_1_34:985;wts_35_51:1016;wts_35_51:1046;wts_35_51:1067;wts_35_51:196;wts_35_51:215;wts_35_51:232;wts_35_51:24;wts_35_51:247;wts_35_51:263;wts_35_51:278;wts_35_51:291;wts_35_51:308;wts_35_51:311;wts_35_51:312;wts_35_51:35;wts_35_51:50;wts_35_51:53;wts_35_51:530;wts_35_51:559;wts_35_51:580;wts_35_51:740;wts_35_51:742;wts_35_51:810;wts_35_51:97;wts_35_51:989;wts_8_b:177;wts_8_b:22;wts_8_b:267;wts_8_b:295;wts_8_b:322;wts_8_b:323;wts_8_b:343;wts_8_b:345;wts_8_b:413;wts_8_b:499;wts_8_b:97;wts_9_m:181;wts_9_m:190;wts_9_m:329;wts_9_m:43			ordinary_tibetan_lexical_or_compound	reviewed	feature_reviewed
CORPUS_BC919FFB8C2C	prefix	མ	contrastive	g→m;m→;→m	contrastive_delta_only;full_realization_isolated;zero_realization_isolated	m	m	མཁར;མཐར;མཐུ;མཐུན;མཐོ;མདུང;མཚར;མཚུར		0	0	ཁར:khar↔མཁར:mkhar || གདུང:gduṅ↔མདུང:mduṅ || ཐར:thar↔མཐར:mthar || ཐུ:thu↔མཐུ:mthu || ཐུན:thun↔མཐུན:mthun || ཐོ:tho↔མཐོ:mtho || མཚར:mtshar↔ཚར:tshar || མཚུར:mtshur↔ཚུར:tshur	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1014;wts_1_34:1054;wts_1_34:1055;wts_1_34:1058;wts_1_34:1059;wts_1_34:1060;wts_1_34:1061;wts_1_34:1063;wts_1_34:1064;wts_1_34:113;wts_1_34:1135;wts_1_34:1263;wts_1_34:1264;wts_1_34:182;wts_1_34:188;wts_1_34:215;wts_1_34:246;wts_1_34:280;wts_1_34:326;wts_1_34:331;wts_1_34:352;wts_1_34:356;wts_1_34:388;wts_1_34:390;wts_1_34:468;wts_1_34:482;wts_1_34:540;wts_1_34:551;wts_1_34:553;wts_1_34:584;wts_1_34:593;wts_1_34:620;wts_1_34:678;wts_1_34:717;wts_1_34:734;wts_1_34:743;wts_1_34:746;wts_1_34:777;wts_1_34:809;wts_1_34:928;wts_1_34:960;wts_35_51:103;wts_35_51:104;wts_35_51:105;wts_35_51:1085;wts_35_51:192;wts_35_51:377;wts_35_51:380;wts_35_51:416;wts_35_51:710;wts_35_51:716;wts_35_51:720;wts_35_51:73;wts_35_51:821;wts_8_b:322;wts_8_b:325;wts_9_m:117;wts_9_m:333;wts_9_m:388			ordinary_tibetan_lexical_or_compound	reviewed	feature_reviewed
CORPUS_91DCE7C115D4	prefix	འ	single_unknown_residual_induction		single_unknown_residual_induction			འགྲོ;འདུག;འདོན;འབབ;འབར;འབུམ;འབྱུང;འབྱོར;འཛིན		0	0		0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1028;wts_1_34:294;wts_1_34:451;wts_1_34:453;wts_1_34:63;wts_1_34:774;wts_1_34:83;wts_35_51:1010;wts_35_51:1013;wts_35_51:1046;wts_35_51:1092;wts_35_51:166;wts_35_51:174;wts_35_51:199;wts_35_51:201;wts_35_51:242;wts_35_51:400;wts_35_51:423;wts_35_51:499;wts_35_51:50;wts_35_51:607;wts_35_51:68;wts_35_51:685;wts_35_51:725;wts_35_51:926;wts_8_b:349;wts_8_b:360;wts_8_b:413;wts_8_b:431;wts_8_b:432;wts_8_b:433;wts_8_b:437;wts_8_b:444;wts_8_b:445;wts_8_b:467;wts_8_b:468;wts_8_b:470;wts_8_b:472;wts_8_b:480;wts_9_m:175			ordinary_tibetan_lexical_or_compound	high	feature_independent_strong_candidate
REVIEWED	root_consonant	ས	contrastive	t→	contrastive_delta_only					0	0		0				s	ordinary_tibetan_lexical_or_compound	reviewed	feature_reviewed
RESIDUAL_16C7C1641787	root_consonant	ཀ	contrastive	k→S;k→b;k→c;k→ch;k→d;k→dz;k→g;k→l;k→m;k→n;k→p;k→ph;k→r;k→s;k→t;k→th;k→ts;k→tsh;k→y;k→z	full_realization_isolated	k	k	ཀན;ཀར;ཀི;ཀུན;ཀེ;ཀོང;ཀྱང;ཀླུ;ཀློང;བཀལ;རྐང;རྐོ;སྐད;སྐམ;སྐར;སྐལ;སྐུ;སྐོང;སྐྱོང;སྐྲ		0	0	ཀན:kan↔ཏན:tan || ཀན:kan↔པན:pan || ཀན:kan↔ཕན:phan || ཀན:kan↔ཟན:zan || ཀན:kan↔ཡན:yan || ཀན:kan↔ཤན:San || ཀར:kar↔ཆར:char || ཀར:kar↔ཐར:thar || ཀར:kar↔པར:par || ཀར:kar↔ཚར:tshar || ཀར:kar↔ཡར:yar || ཀར:kar↔སར:sar || ཀི:ki↔གི:gi || ཀི:ki↔ཅི:ci || ཀི:ki↔ཏི:ti || ཀི:ki↔ཙི:tsi || ཀི:ki↔ཛི:dzi || ཀི:ki↔ཡི:yi || ཀི:ki↔རི:ri || ཀུན:kun↔ཆུན:chun || ཀུན:kun↔ཐུན:thun || ཀུན:kun↔ཚུན:tshun || ཀེ:ke↔གེ:ge || ཀེ:ke↔ཏེ:te || ཀེ:ke↔དེ:de || ཀེ:ke↔ནེ:ne || ཀེ:ke↔ཙེ:tse || ཀེ:ke↔ཟེ:ze || ཀེ:ke↔ཡེ:ye || ཀེ:ke↔ལེ:le || ཀེ:ke↔སེ:se || ཀོང:koṅ↔ལོང:loṅ || ཀྱང:kyaṅ↔ཕྱང:phyaṅ || ཀྱང:kyaṅ↔མྱང:myaṅ || ཀླུ:klu↔གླུ:glu || ཀློང:kloṅ↔སློང:sloṅ || བཀལ:bkal↔བཙལ:btsal || རྐང:rkaṅ↔རྨང:rmaṅ || རྐོ:rko↔རྣོ:rno || སྐད:skad↔སྨད:smad || སྐམ:skam↔སྣམ:snam || སྐར:skar↔སྤར:spar || སྐལ:skal↔སྤལ:sbal || སྐུ:sku↔སྤུ:spu || སྐོང:skoṅ↔སྟོང:stoṅ || སྐྱོང:skyoṅ↔སྦྱོང:sbyoṅ || སྐྲ:skra↔སྒྲ:sgra || སྐྲ:skra↔སྨྲ:smra	0	wts_1_34;wts_35_51;wts_8_b;wts_9_m	wts_1_34:1006;wts_1_34:1029;wts_1_34:1032;wts_1_34:1033;wts_1_34:108;wts_1_34:111;wts_1_34:112;wts_1_34:113;wts_1_34:114;wts_1_34:1350;wts_1_34:150;wts_1_34:162;wts_1_34:169;wts_1_34:172;wts_1_34:175;wts_1_34:176;wts_1_34:177;wts_1_34:178;wts_1_34:179;wts_1_34:180;wts_1_34:182;wts_1_34:183;wts_1_34:184;wts_1_34:185;wts_1_34:187;wts_1_34:221;wts_1_34:222;wts_1_34:223;wts_1_34:241;wts_1_34:320;wts_1_34:387;wts_1_34:404;wts_1_34:416;wts_1_34:459;wts_1_34:470;wts_1_34:478;wts_1_34:48;wts_1_34:486;wts_1_34:49;wts_1_34:51;wts_1_34:53;wts_1_34:62;wts_1_34:63;wts_1_34:64;wts_1_34:65;wts_1_34:69;wts_1_34:70;wts_1_34:71;wts_1_34:714;wts_1_34:72;wts_1_34:724;wts_1_34:73;wts_1_34:74;wts_1_34:75;wts_1_34:76;wts_1_34:77;wts_1_34:78;wts_1_34:79;wts_1_34:81;wts_1_34:82;wts_1_34:83;wts_1_34:84;wts_1_34:85;wts_1_34:86;wts_1_34:87;wts_1_34:89;wts_1_34:910;wts_1_34:919;wts_1_34:97;wts_1_34:980;wts_1_34:988;wts_1_34:991;wts_1_34:999;wts_35_51:1019;wts_35_51:1032;wts_35_51:1087;wts_35_51:1113;wts_35_51:1118;wts_35_51:188;wts_35_51:232;wts_35_51:239;wts_35_51:246;wts_35_51:3;wts_35_51:314;wts_35_51:419;wts_35_51:420;wts_35_51:431;wts_35_51:457;wts_35_51:476;wts_35_51:483;wts_35_51:496;wts_35_51:554;wts_35_51:589;wts_35_51:601;wts_35_51:645;wts_35_51:682;wts_35_51:685;wts_35_51:690;wts_35_51:720;wts_35_51:722;wts_35_51:764;wts_35_51:768;wts_35_51:79;wts_35_51:83;wts_35_51:853;wts_35_51:895;wts_35_51:908;wts_8_b:163;wts_8_b:228;wts_8_b:268;wts_8_b:329;wts_8_b:342;wts_8_b:366;wts_8_b:522;wts_8_b:530;wts_8_b:534;wts_8_b:56;wts_8_b:574;wts_9_m:165;wts_9_m:195;wts_9_m:200;wts_9_m:315;wts_9_m:343;wts_9_m:344;wts_9_m:367			ordinary_tibetan_lexical_or_compound	reviewed	feature_reviewed
