volume	page	line	token_index	tibetan_syllable	old_token	current_token	migration_class	context_excerpt
wts_1_34	33	23	1	ཀ	f		former_alignment_requires_review	ཀ་ × für lkha.
wts_1_34	33	41	2	ྱུ	k	käkagnha	unicode_latin_token_extent_repaired	1 ྱུ käkagnha.
wts_1_34	35	60	2	ག	g	gä	unicode_latin_token_extent_repaired	ཀ་ག་ ་ལ་ ka gä ni la ein Saphir - skt. kakanila
wts_1_34	35	61	1	གན	kr	krähenblau	unicode_latin_token_extent_repaired	གན „krähenblau“.
wts_1_34	35	153	4	ར	m	mä	unicode_latin_token_extent_repaired	ཅོག་ཀ་མཱ་ར་ ka cog ku mä ra, auch ska cogku mä
wts_1_34	40	167	1	ཀ	k	kä	unicode_latin_token_extent_repaired	ཀ་མ ་ཙནྡྲ་ kä ma tsandra
wts_1_34	40	220	1	ཀཱ	k	kä	unicode_latin_token_extent_repaired	ཀཱ་མ་ཙནྡྲ་ kä ma tsandra npr., König im Osten In-
wts_1_34	41	132	1	ཀཱ	k	kä	unicode_latin_token_extent_repaired	ཀཱ་མ་ཨ་ཤོ་ཀ་ kä ma a so ka „Begierden-Asoka“,
wts_1_34	45	1	1	ཀཱ	k	kä	unicode_latin_token_extent_repaired	ཀཱ་ལ་ཡཀྟ་ནག་པོ་ kä la yaksa nag po
wts_1_34	47	37	0	ཛཱ	ta		former_fragment_or_gloss_alignment_removed	ཀཱ་ཤི་ཛཱ་ཏ་ ka sidzäta „in Käśi geboren“, ein Brah-
wts_1_34	47	37	2	ཤི	sidz	sidzäta	unicode_latin_token_extent_repaired	ཀཱ་ཤི་ཛཱ་ཏ་ ka sidzäta „in Käśi geboren“, ein Brah-
wts_1_34	47	37	3	ཛཱ	in	in	alignment_change_requires_review	ཀཱ་ཤི་ཛཱ་ཏ་ ka sidzäta „in Käśi geboren“, ein Brah-
wts_1_34	47	37	4	ཏ		Käśi	newly_visible_unicode_token	ཀཱ་ཤི་ཛཱ་ཏ་ ka sidzäta „in Käśi geboren“, ein Brah-
wts_1_34	47	141	3	ཀྭ	k	kä	unicode_latin_token_extent_repaired	ཀ་སཱི་ཀྭ་ར་ ka si kä ra die Stadt Kaschgar.
wts_1_34	49	130	2	ཀྭར	k	kä	unicode_latin_token_extent_repaired	ཀམ་ཀྭར་ kam kä ra ein Land im Nordwesten In-
wts_1_34	52	93	2	ཌཱཀི	d	däki	unicode_latin_token_extent_repaired	ཀྨརྨ་ཌཱཀི་ karma däki eine Göttin ım Gefolge des
wts_1_34	54	134	3	དྷུ	h	hü	unicode_latin_token_extent_repaired	ཀིན་བྱང་དྷུ་ kin byaṅ hü !kin jan hu.
wts_1_34	55	40	4	རཱ	r	rä	unicode_latin_token_extent_repaired	ཀུ་ཀྭ་ར་རཱ་ཛ་ ku ku ra rä dza ~ skt. kukkuraraja
wts_1_34	55	129	0	རི	chter		former_fragment_or_gloss_alignment_removed	ཀུ་ཅོ་དི་རི་རི་ ku co diriri Hohngelächter, schallen-
wts_1_34	55	129	4	རི	Hohngel	Hohngelächter	unicode_latin_token_extent_repaired	ཀུ་ཅོ་དི་རི་རི་ ku co diriri Hohngelächter, schallen-
wts_1_34	55	129	5	རི		schallen	new_alignment_requires_review	ཀུ་ཅོ་དི་རི་རི་ ku co diriri Hohngelächter, schallen-
wts_1_34	56	189	3	ནཱ	n	nä	unicode_latin_token_extent_repaired	ཀུ་མ་ནཱ་པ་ ku ma nä pa, auch ku ma nä ba -- für
wts_1_34	56	204	2	མཱ	m	mä	unicode_latin_token_extent_repaired	ཀུ་མཱ་ར་ཏ་ ku mä ra ta ein Bhiksu der frühen
wts_1_34	57	1	2	མཱ	m	mä	unicode_latin_token_extent_repaired	ཀུ་མཱ་ར་ཤྲཱི་ ku mä ra śri
wts_1_34	57	9	2	མཱ	m	mä	unicode_latin_token_extent_repaired	"ཀུ་མཱ་ར་ ""ku mä ra Sri ein Pandita. — skt."
wts_1_34	62	78	0	མཁྱེན	id		former_fragment_or_gloss_alignment_removed	ཀུན་མཁྱེན་ཉིད་ kun /777/7)/67 üid Allwissenheit. —
wts_1_34	62	78	5	མཁྱེན		üid	newly_visible_unicode_token	ཀུན་མཁྱེན་ཉིད་ kun /777/7)/67 üid Allwissenheit. —
wts_1_34	62	131	4	གཉེན	g	güen	unicode_latin_token_extent_repaired	ཀུན་གྱི་བཤེས་གཉེན་ kun gyi bses güen npr., Vi-
wts_1_34	63	28	0	གྲུ	nders		former_fragment_or_gloss_alignment_removed	ཀུན་དག དོན་གྲུ 1486), N. des Gründers des
wts_1_34	63	28	4	དོན	Gr	Gründers	unicode_latin_token_extent_repaired	ཀུན་དག དོན་གྲུ 1486), N. des Gründers des
wts_1_34	63	28	5	གྲུ		des	new_alignment_requires_review	ཀུན་དག དོན་གྲུ 1486), N. des Gründers des
wts_1_34	63	53	0	དགའ	ne		former_fragment_or_gloss_alignment_removed	ཀུན་དགའ་བའ་གླ Töne, erfreuliche Gespräche. —
wts_1_34	63	53	1	ཀུན	T		former_alignment_requires_review	ཀུན་དགའ་བའ་གླ Töne, erfreuliche Gespräche. —
wts_1_34	63	53	2	བའ	erfreuliche		former_alignment_requires_review	ཀུན་དགའ་བའ་གླ Töne, erfreuliche Gespräche. —
wts_1_34	63	53	3	གླ	Gespr		former_alignment_requires_review	ཀུན་དགའ་བའ་གླ Töne, erfreuliche Gespräche. —
wts_1_34	64	193	0	འགྲོ	berallhin		former_fragment_or_gloss_alignment_removed	ཀུན་འགྲོ་ kun 990 „überallhin gehend“, univer-
wts_1_34	64	193	3	འགྲོ		überallhin	newly_visible_unicode_token	ཀུན་འགྲོ་ kun 990 „überallhin gehend“, univer-
wts_1_34	68	92	3	འཇོམས	Zerst	Zerstörer	unicode_latin_token_extent_repaired	ཀུན་འཇོམས་ kun 7075 „Zerstörer“; vgl. Ikun tu
wts_1_34	70	3	5	པ	v	völlig	unicode_latin_token_extent_repaired	ཀུན་ཏུ་འཁྱོག་པ་ kun tu 5769 pa völlig gebogen.
wts_1_34	70	8	8	པ	aufgew	aufgewühlt	unicode_latin_token_extent_repaired	ཀུན་ཏུ་འཁྲུག་པ་ kun tn 7/7?7/9 pa aufgewühlt sein,
wts_1_34	71	199	0	པ	berwinden		former_fragment_or_gloss_alignment_removed	ཀུན་ཏུ་འཇོམས་པ་ kun tu 7:07775 pa überwinden, ver-
wts_1_34	71	199	6	པ		überwinden	newly_visible_unicode_token	ཀུན་ཏུ་འཇོམས་པ་ kun tu 7:07775 pa überwinden, ver-
wts_1_34	72	15	5	པ	v	völlig	unicode_latin_token_extent_repaired	ཀུན་ཏུ་མཉམ་པ་ kun tu ?77777777 pa völlig gleich sein,
wts_1_34	75	206	7	པ	Anh	Anhänger	unicode_latin_token_extent_repaired	ཀུན་ཏུ་འཚོ་བ་པ་ kun tn 75/70 ba pa Anhänger einer
wts_1_34	77	128	4	པ	anh	anhäufen	unicode_latin_token_extent_repaired	ཀུན་ཏུ་གསོག་པ་ kun tu gsogpa anhäufen; vgl. !kun
wts_1_34	80	48	0	བ	in		former_fragment_or_gloss_alignment_removed	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	80	48	3	རྙིང	r	räin	unicode_latin_token_extent_repaired	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	80	48	4	བ		ba	new_alignment_requires_review	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	82	106	3	ལང	lani	laṅ	unicode_latin_token_extent_repaired	ཀུན་ནས་ལང་བ་ kun nas laṅ ba sich erheben, her-
