tibetan_syllable	normalized_source_variant	source_variants_and_counts	proposed_target	candidate_count	dominant_count	damaged_count	insufficient_count	competing_count	structure_mismatch_count	marker_attached_count	accepted_form_evidence	volumes
ཤིང	sin	sin:36; Sin:20; sih:2	siṅ	58	0	0	0	58	0	0	30	wts_1_34;wts_35_51;wts_8_b
ཁོང	khon	khon:28; Khon:1	khoṅ	29	0	1	0	28	0	0	1	wts_1_34
ཀང	kan	kan:21	kaṅ	21	0	1	20	0	0	0	1	wts_1_34
ཀློང	klon	klon:20	kloṅ	20	0	1	0	19	0	0	3	wts_1_34
ཏིང	tin	tin:16	tiṅ	16	0	0	0	16	0	0	1	wts_1_34;wts_8_b
ལུང	lun	lun:14; luh:1	luṅ	15	0	0	0	15	0	0	12	wts_1_34;wts_35_51
སློང	slon	slon:15	sloṅ	15	0	0	0	15	0	0	1	wts_1_34
ཅང	can	can:13	caṅ	13	0	2	11	0	0	0	1	wts_1_34
སྙིང	sin	sin:13	siṅ	13	0	0	0	13	0	0	3	wts_1_34
གླེང	glen	glen:12	gleṅ	12	0	1	0	11	0	0	1	wts_1_34
གློང	gron	gron:11	groṅ	11	0	0	0	0	11	0	1	wts_1_34
གཏང	gtan	gtan:10	gtaṅ	10	0	1	9	0	0	0	1	wts_1_34
དགུང	dgun	dgun:10	dguṅ	10	0	1	9	0	0	0	1	wts_1_34;wts_35_51
གྱོང	gyon	gyon:8	gyoṅ	8	0	0	8	0	0	0	1	wts_1_34
བགྲང	bgran	bgran:8	bgraṅ	8	0	0	8	0	0	0	1	wts_1_34
ཀྱོང	gyon	gyon:7	gyoṅ	7	0	0	7	0	0	0	1	wts_1_34
འཆེང	chin	chin:7	chiṅ	7	0	0	7	0	0	0	1	wts_1_34
རྟིང	rtin	rtin:7	rtiṅ	7	0	0	7	0	0	0	1	wts_1_34
རུང	run	run:6	ruṅ	6	0	0	6	0	0	0	1	wts_1_34
སང	san	san:6	saṅ	6	0	0	0	6	0	0	3	wts_1_34
ཀྱང	kyan	kyan:4	kyaṅ	4	0	0	0	4	0	0	3	wts_1_34
ཀྲོང	kron	kron:4	kroṅ	4	0	0	4	0	0	0	1	wts_1_34
ཞེང	zen	Zen:4	zeṅ	4	0	0	0	4	0	0	1	wts_1_34
རོང	ron	ron:4	roṅ	4	0	0	0	4	0	0	2	wts_1_34
ཕྱུང	phyun	phyun:3	phyuṅ	3	0	0	0	3	0	0	4	wts_1_34
ཁྱུང	khyun	khyun:2	khyuṅ	2	2	0	0	0	0	0	2	wts_1_34
གདང	gdan	gdan:2	gdaṅ	2	0	0	0	2	0	0	9	wts_1_34
གདུང	gdun	gdun:2	gduṅ	2	2	0	0	0	0	0	28	wts_1_34
གཡང	g.yan	g.yan:2	g.yaṅ	2	0	0	2	0	0	0	1	wts_35_51;wts_9_m
ཏང	tan	tan:2	taṅ	2	2	0	0	0	0	0	3	wts_1_34
དབྱུང	dbyun	dbyun:2	dbyuṅ	2	2	0	0	0	0	0	8	wts_1_34
བང	ban	ban:2	baṅ	2	0	0	0	2	0	0	12	wts_1_34
བསྲུང	bsrun	bsrun:2	bsruṅ	2	2	0	0	0	0	0	4	wts_1_34
